"タイトル","リンクURL","イメージ画像URL（小）","イメージ画像URL（中）","カテゴリ","ジャンル","著者","出版社（発売元）","出版日（発売日）","ISBN/JAN","定価","アマゾン価格","ASIN（アマゾン商品コード）","登録日","更新日","タグ","コメント","評価","ウィッシュ","所有","お気に入り","購入日","購入金額","状態","読了日","公開・非公開"
"猶予(いざよい)の月","http://www.amazon.co.jp/exec/obidos/ASIN/4152035161/mmarker-22/ref=nosim","","","本・雑誌","文学・評論","神林 長平","早川書房","1992-05","9784152035165","2,726","0","4152035161","2010/02/03 18:28:47","2010/02/03 18:28:47","","","0","","","","","","読了","","0"
"図書館危機","http://www.amazon.co.jp/exec/obidos/ASIN/4840237743/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51N51VhfN3L._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51N51VhfN3L._SL160_.jpg","本・雑誌","文学・評論","有川 浩","メディアワークス","2007-02-01","9784840237741","0","1,728","4840237743","2010/02/03 18:28:58","2010/02/03 18:28:58","","","0","","","","","","読了","","0"
"図書館革命","http://www.amazon.co.jp/exec/obidos/ASIN/4840240221/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51wLuhxjFgL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51wLuhxjFgL._SL160_.jpg","本・雑誌","文学・評論","有川 浩","メディアワークス","2007-11","9784840240222","0","1,728","4840240221","2010/02/03 18:29:07","2010/02/03 18:29:07","","","0","","","","","","読了","","0"
"言壺 (中公文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4122035945/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51C8ETTXPRL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51C8ETTXPRL._SL160_.jpg","本・雑誌","文芸作品","神林 長平","中央公論新社","2000-02-01","9784122035942","0","0","4122035945","2010/02/03 18:29:14","2010/02/03 18:29:14","","","0","","","","","","読了","","0"
"雪国 (新潮文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4101001014/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/519hyzybFaL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/519hyzybFaL._SL160_.jpg","本・雑誌","文学賞受賞作家","川端 康成","新潮社","2006-05","9784101001012","0","389","4101001014","2010/02/03 18:29:27","2010/02/03 18:29:27","","","0","","","","","","読了","","0"
"別冊 図書館戦争〈1〉","http://www.amazon.co.jp/exec/obidos/ASIN/4048670298/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/516HqpZxj4L._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/516HqpZxj4L._SL160_.jpg","本・雑誌","文学・評論","有川 浩","アスキーメディアワークス","2008-04-01","9784048670296","0","1,512","4048670298","2010/02/03 18:29:32","2010/02/03 18:29:32","","","0","","","","","","読了","","0"
"眠れる美女 (新潮文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4101001200/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51oiLufkRcL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51oiLufkRcL._SL160_.jpg","本・雑誌","文芸作品","川端 康成","新潮社","1967-11-28","9784101001203","0","529","4101001200","2010/02/03 18:29:44","2010/02/03 18:29:44","","","0","","","","","","読了","","0"
"太陽の塔 (新潮文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4101290512/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51V3NSREZFL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51V3NSREZFL._SL160_.jpg","本・雑誌","SF・ホラー・ファンタジー","森見 登美彦","新潮社","2006-06-01","9784101290515","0","529","4101290512","2010/02/03 18:29:56","2010/02/03 18:29:56","","","0","","","","","","読了","","0"
"無限論の教室 (講談社現代新書)","http://www.amazon.co.jp/exec/obidos/ASIN/4061494201/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/418TWR6F2FL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/418TWR6F2FL._SL160_.jpg","本・雑誌","哲学・思想","野矢 茂樹","講談社","1998-09-18","9784061494206","0","821","4061494201","2010/02/03 18:30:07","2010/02/03 18:30:07","","","0","","","","","","読了","","0"
"抒情歌,禽獣 他5篇 (岩波文庫 緑 81-2)","http://www.amazon.co.jp/exec/obidos/ASIN/4003108124/mmarker-22/ref=nosim","http://ecx.images-amazon.com/images/I/513YXos-55L._SL75_.jpg","http://ecx.images-amazon.com/images/I/513YXos-55L._SL160_.jpg","本・雑誌","文学・評論","川端 康成","岩波書店","1952-06","9784003108123","525","525","4003108124","2010/02/03 18:30:16","2010/02/03 18:30:16","","","0","","","","","","読了","","0"
"日本語が亡びるとき―英語の世紀の中で","http://www.amazon.co.jp/exec/obidos/ASIN/4480814965/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/513ZudxudiL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/513ZudxudiL._SL160_.jpg","本・雑誌","文学・評論","水村 美苗","筑摩書房","2008-11-05","9784480814968","1,944","1,944","4480814965","2010/02/03 18:30:24","2010/02/03 18:30:24","","","0","","","","","","読了","","0"
"四畳半神話大系 (角川文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/404387801X/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51SBa3cat3L._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51SBa3cat3L._SL160_.jpg","本・雑誌","文芸作品","森見 登美彦","角川書店","2008-03-25","9784043878017","0","734","404387801X","2010/02/03 18:30:28","2010/02/03 18:30:28","","","0","","","","","","読了","","0"
"別冊 図書館戦争〈2〉","http://www.amazon.co.jp/exec/obidos/ASIN/4048672398/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51VKPQZ-yRL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51VKPQZ-yRL._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","有川 浩","アスキーメディアワークス","2008-08-01","9784048672399","0","1,512","4048672398","2010/02/03 18:30:36","2010/02/03 18:30:36","","","0","","","","","","読了","","0"
"戦争と平和〈4〉 (新潮文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4102060162/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51GX3CxfPsL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51GX3CxfPsL._SL160_.jpg","本・雑誌","文芸作品","トルストイ","新潮社","2006-02","9784102060162","0","961","4102060162","2010/02/03 18:30:58","2010/02/03 18:30:58","","","0","","","","","","読了","","0"
"戦争と平和〈5〉 (岩波文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4003261852/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51xjWnwyP1L._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51xjWnwyP1L._SL160_.jpg","本・雑誌","文芸作品","トルストイ","岩波書店","2006-07-14","9784003261859","0","1,188","4003261852","2010/02/03 18:31:08","2010/02/03 18:31:08","","","0","","","","","","読了","","0"
"12月のベロニカ (富士見ファンタジア文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/482911486X/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51T6GC9QZHL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51T6GC9QZHL._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","貴子 潤一郎","富士見書房","2003-01","9784829114865","0","0","482911486X","2010/02/03 18:31:16","2010/02/03 18:31:16","","","0","","","","","","読了","","0"
"山の音 (新潮文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4101001111/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/41e8Pw2g7ML._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/41e8Pw2g7ML._SL160_.jpg","本・雑誌","文学賞受賞作家","川端 康成","新潮社","1957-04-17","9784101001111","0","680","4101001111","2010/02/03 18:31:27","2010/02/03 18:31:27","","","0","","","","","","読了","","0"
"戦争と平和〈6〉 (岩波文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4003261860/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/510RCHQWC4L._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/510RCHQWC4L._SL160_.jpg","本・雑誌","文芸作品","トルストイ","岩波書店","2006-09-15","9784003261866","0","1,188","4003261860","2010/02/03 18:31:34","2010/02/03 18:31:34","","","0","","","","","","読了","","0"
"きつねのはなし","http://www.amazon.co.jp/exec/obidos/ASIN/4104645028/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/41R2APX4E3L._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/41R2APX4E3L._SL160_.jpg","本・雑誌","文学・評論","森見 登美彦","新潮社","2006-10-28","9784104645022","0","6,042","4104645028","2010/02/03 18:31:41","2010/02/03 18:31:41","","","0","","","","","","読了","","0"
"新釈 走れメロス 他四篇","http://www.amazon.co.jp/exec/obidos/ASIN/4396632797/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/515nwxopwrL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/515nwxopwrL._SL160_.jpg","本・雑誌","文学・評論","森見 登美彦","祥伝社","2007-03-13","9784396632793","0","1,512","4396632797","2010/02/03 18:31:48","2010/02/03 18:31:48","","","0","","","","","","読了","","0"
"とらドラ!1 (電撃文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4840233535/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51R2E-ylWhL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51R2E-ylWhL._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","竹宮 ゆゆこ","アスキー・メディアワークス","2006-03-25","9784840233538","0","0","4840233535","2010/02/03 18:31:54","2010/02/03 18:31:54","","","0","","","","","","読了","","0"
"とらドラ〈2!〉 (電撃文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4840234388/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51iD42dDY4L._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51iD42dDY4L._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","竹宮 ゆゆこ","アスキー・メディアワークス","2006-05-25","9784840234382","0","594","4840234388","2010/02/03 18:32:07","2010/02/03 18:32:07","","","0","","","","","","読了","","0"
"とらドラ〈3!〉 (電撃文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4840235511/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51dVY6I2oEL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51dVY6I2oEL._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","竹宮 ゆゆこ","アスキー・メディアワークス","2006-09-01","9784840235518","0","3,014","4840235511","2010/02/03 18:32:13","2010/02/03 18:32:13","","","0","","","","","","読了","","0"
"とらドラ! 4 (電撃文庫 た 20-6)","http://www.amazon.co.jp/exec/obidos/ASIN/484023681X/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51s6ZtodAGL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51s6ZtodAGL._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","竹宮 ゆゆこ","アスキー・メディアワークス","2007-01-06","9784840236812","0","551","484023681X","2010/02/03 18:32:20","2010/02/03 18:32:20","","","0","","","","","","読了","","0"
"とらドラ! (5) (電撃文庫 た 20-8)","http://www.amazon.co.jp/exec/obidos/ASIN/4840239320/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/519B4M0qLdL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/519B4M0qLdL._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","竹宮 ゆゆこ","アスキー・メディアワークス","2007-08-01","9784840239325","0","594","4840239320","2010/02/03 18:32:25","2010/02/03 18:32:25","","","0","","","","","","読了","","0"
"とらドラ! (6) (電撃文庫 た 20-9)","http://www.amazon.co.jp/exec/obidos/ASIN/4840241171/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51LDCWjyUbL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51LDCWjyUbL._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","竹宮 ゆゆこ","メディアワークス","2007-12-10","9784840241175","0","594","4840241171","2010/02/03 18:32:30","2010/02/03 18:32:30","","","0","","","","","","読了","","0"
"とらドラ!〈7〉 (電撃文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4048670190/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51LoxO7EoNL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51LoxO7EoNL._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","竹宮 ゆゆこ","アスキーメディアワークス","2008-04-10","9784048670197","0","551","4048670190","2010/02/03 18:32:36","2010/02/03 18:32:36","","","0","","","","","","読了","","0"
"とらドラ!〈8〉 (電撃文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4048671707/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51jMvV7fWDL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51jMvV7fWDL._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","竹宮 ゆゆこ","アスキーメディアワークス","2008-08-10","9784048671705","0","594","4048671707","2010/02/03 18:32:44","2010/02/03 18:32:44","","","0","","","","","","読了","","0"
"とらドラ!〈9〉 (電撃文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4048672657/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51sB0UlAbJL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51sB0UlAbJL._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","竹宮 ゆゆこ","アスキーメディアワークス","2008-10-10","9784048672658","0","0","4048672657","2010/02/03 18:32:52","2010/02/03 18:32:52","","","0","","","","","","読了","","0"
"とらドラ10! (電撃文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4048675931/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51mTOBUByLL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51mTOBUByLL._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","竹宮 ゆゆこ","アスキーメディアワークス","2009-03-10","9784048675932","0","551","4048675931","2010/02/03 18:32:57","2010/02/03 18:32:57","","","0","","","","","","読了","","0"
"とらドラ・スピンオフ!―幸福の桜色トルネード (電撃文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4840238383/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51tURFIsznL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51tURFIsznL._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","竹宮 ゆゆこ","アスキー・メディアワークス","2007-05-01","9784840238380","0","616","4840238383","2010/02/03 18:33:07","2010/02/03 18:33:07","","","0","","","","","","読了","","0"
"わたしたちの田村くん (電撃文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4840230668/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51AyNgoOi3L._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51AyNgoOi3L._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","竹宮 ゆゆこ","メディアワークス","2005-06","9784840230667","0","10,179","4840230668","2010/02/03 18:33:14","2010/02/03 18:33:14","","","0","","","","","","読了","","0"
"わたしたちの田村くん〈2〉 (電撃文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4840231524/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51Hdv99XXnL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51Hdv99XXnL._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","竹宮 ゆゆこ","メディアワークス","2005-09","9784840231527","0","10,128","4840231524","2010/02/03 18:33:20","2010/02/03 18:33:20","","","0","","","","","","読了","","0"
"NHKにようこそ! (角川文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4043747020/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51l0u5Sh8bL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51l0u5Sh8bL._SL160_.jpg","本・雑誌","文芸作品","滝本 竜彦","角川書店","2005-06-25","9784043747023","0","3,102","4043747020","2010/02/03 18:33:25","2010/02/03 18:33:25","","","0","","","","","","読了","","0"
"とらドラ・スピンオフ2! 虎、肥ゆる秋 (電撃文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4048674595/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51wJXp7GGgL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51wJXp7GGgL._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","竹宮 ゆゆこ","アスキーメディアワークス","2009-01-07","9784048674591","0","616","4048674595","2010/02/03 18:33:34","2010/02/03 18:33:34","","","0","","","","","","読了","","0"
"狼と香辛料 (電撃文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4840233020/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51NGJS1A0ZL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51NGJS1A0ZL._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","支倉 凍砂","メディアワークス","2006-02","9784840233026","0","8,276","4840233020","2010/02/03 18:33:40","2010/02/03 18:33:40","","","0","","","","","","読了","","0"
"狼と香辛料 (2) (電撃文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4840234515/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51B33AZCH4L._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51B33AZCH4L._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","支倉 凍砂","KADOKAWA/アスキー・メディアワークス","2006-06-10","9784840234511","0","0","4840234515","2010/02/03 18:33:47","2010/02/03 18:33:47","","","0","","","","","","読了","","0"
"狼と香辛料 (3) (電撃文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4840235880/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51682VG4VTL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51682VG4VTL._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","支倉 凍砂","KADOKAWA/アスキー・メディアワークス","2006-10-10","9784840235884","0","0","4840235880","2010/02/03 18:33:53","2010/02/03 18:33:53","","","0","","","","","","読了","","0"
"狼と香辛料 (4) (電撃文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4840237239/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51MXUa2GcBL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51MXUa2GcBL._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","支倉 凍砂","KADOKAWA/アスキー・メディアワークス","2007-02-10","9784840237239","0","0","4840237239","2010/02/03 18:33:59","2010/02/03 18:33:59","","","0","","","","","","読了","","0"
"狼と香辛料〈5〉 (電撃文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4840239339/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51uKd1MidHL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51uKd1MidHL._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","支倉 凍砂","メディアワークス","2007-08","9784840239332","0","0","4840239339","2010/02/03 18:34:04","2010/02/03 18:34:04","","","0","","","","","","読了","","0"
